Specimen ID,Specimen,Plate ID,Well ID,Sample,Run Time,All Abs. Count,mChe+SYTO-9 Abs. Count,SYTO-9 Abs. Count,SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean FITC-H,mChe+SYTO-9 Mean PE-Texas Red-H
1,Specimen1,1,A1,Sample1,10/4/2017 8:43:08 PM,426833,1117,142333,17116,98318,9224
1,Specimen1,1,A2,Sample2,10/4/2017 8:44:49 PM,395200,1100,141300,17408,206742,11237
1,Specimen1,1,A3,Sample3,10/4/2017 8:46:30 PM,438100,1267,159617,18449,53692,5146
1,Specimen1,1,A1,Sample4,10/4/2017 8:48:11 PM,355333,817,124900,16529,66060,8276
1,Specimen1,1,A2,Sample5,10/4/2017 8:49:52 PM,361833,750,130017,16727,125745,6995
1,Specimen1,1,A3,Sample6,10/4/2017 8:51:33 PM,406683,1533,118133,17992,147257,8665
1,Specimen1,1,A1,Sample7,10/4/2017 8:53:13 PM,252050,867,500,2648,1177,3118
1,Specimen1,1,A2,Sample8,10/4/2017 8:54:54 PM,251250,1183,483,1932,1091,2353
1,Specimen1,1,A3,Sample9,10/4/2017 8:56:35 PM,255917,900,517,2245,1030,2133
1,Specimen1,1,B1,Sample55,10/4/2017 8:58:16 PM,20540,50,550,21888,1895,9856
1,Specimen1,1,B2,Sample56,10/4/2017 9:00:34 PM,20930,40,390,15299,1312,2288
1,Specimen1,1,B3,Sample57,10/4/2017 9:02:53 PM,23530,70,650,24861,3925,5369
1,Specimen1,1,C1,Sample10,10/4/2017 9:05:11 PM,107033,53733,4883,8212,2902,9113
1,Specimen1,1,C2,Sample11,10/4/2017 9:06:52 PM,103567,53300,3850,12226,3919,9117
1,Specimen1,1,C3,Sample12,10/4/2017 9:08:33 PM,117217,51733,5967,6500,4139,9338
1,Specimen1,1,C1,Sample13,10/4/2017 9:10:14 PM,107250,53483,3917,8028,3191,9392
1,Specimen1,1,C2,Sample14,10/4/2017 9:11:54 PM,101617,51983,3717,10482,3989,9497
1,Specimen1,1,C3,Sample15,10/4/2017 9:13:35 PM,114400,52667,5367,9688,4662,9431
1,Specimen1,1,C1,Sample16,10/4/2017 9:15:16 PM,255017,950,533,7962,2240,4093
1,Specimen1,1,C2,Sample17,10/4/2017 9:16:57 PM,231667,1317,617,12537,2863,5971
1,Specimen1,1,C3,Sample18,10/4/2017 9:18:38 PM,288800,950,500,1503,684,1994
